CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
13379724000130;REDE 020;RODOVIA BR 020,S/N;KM     30,9;DISTRITO DO BEZERRA;FORMOSA;GO;Etanol;3,129;29/10/2018 17:28
13379724000130;REDE 020;RODOVIA BR 020,S/N;KM     30,9;DISTRITO DO BEZERRA;FORMOSA;GO;Diesel S500;3,629;03/11/2018 13:28
13379724000130;REDE 020;RODOVIA BR 020,S/N;KM     30,9;DISTRITO DO BEZERRA;FORMOSA;GO;Diesel S10;3,684;03/11/2018 13:28
13635049000162;POSTO TITAN DE CORBELIA LTDA.;RODOVIA BR 369,S/N;KM 478;OURO VERDE DO PIQUIRI;CORBELIA;PR;Gasolina C Comum;4,09;07/08/2018 15:55
13635049000162;POSTO TITAN DE CORBELIA LTDA.;RODOVIA BR 369,S/N;KM 478;OURO VERDE DO PIQUIRI;CORBELIA;PR;Etanol;2,49;07/08/2018 15:55
13635049000162;POSTO TITAN DE CORBELIA LTDA.;RODOVIA BR 369,S/N;KM 478;OURO VERDE DO PIQUIRI;CORBELIA;PR;Diesel S500;3,06;07/08/2018 15:55
13781754000178;POSTOS ARCO VERDE;AVENIDA PILOTO PEREIRA TIM,1762;ANEXO A;MONTE CASTELO;PARNAMIRIM;RN;Gasolina C Comum;4,769;29/07/2018 20:26
13781754000178;POSTOS ARCO VERDE;AVENIDA PILOTO PEREIRA TIM,1762;ANEXO A;MONTE CASTELO;PARNAMIRIM;RN;Etanol;3,599;29/07/2018 20:26
13781754000178;POSTOS ARCO VERDE;AVENIDA PILOTO PEREIRA TIM,1762;ANEXO A;MONTE CASTELO;PARNAMIRIM;RN;Diesel S500;3,47;29/07/2018 20:26
13781754000178;POSTOS ARCO VERDE;AVENIDA PILOTO PEREIRA TIM,1762;ANEXO A;MONTE CASTELO;PARNAMIRIM;RN;Diesel S10;3,59;29/07/2018 20:26
14167819000152;AUTO POSTO MARQUES;RODOVIA BR 364,S/N;KM 421;JARDIM BELA VISTA;JARU;RO;Gasolina C Comum;4,579;03/07/2018 15:38
14167819000152;AUTO POSTO MARQUES;RODOVIA BR 364,S/N;KM 421;JARDIM BELA VISTA;JARU;RO;Etanol;3,999;03/07/2018 15:38
14167819000152;AUTO POSTO MARQUES;RODOVIA BR 364,S/N;KM 421;JARDIM BELA VISTA;JARU;RO;Diesel S500;3,549;03/07/2018 15:38
14167819000152;AUTO POSTO MARQUES;RODOVIA BR 364,S/N;KM 421;JARDIM BELA VISTA;JARU;RO;Diesel S10;3,599;03/07/2018 15:38
14229920000190;POSTO TITAN CAFELANDIA;AVENIDA MARECHAL LOTT,  ESQ. DEP. ANTONIO LUSTOSA,1475;;CENTRO;CAFELANDIA;PR;Gasolina C Comum;4,219;07/08/2018 16:02
14229920000190;POSTO TITAN CAFELANDIA;AVENIDA MARECHAL LOTT,  ESQ. DEP. ANTONIO LUSTOSA,1475;;CENTRO;CAFELANDIA;PR;Etanol;2,699;07/08/2018 16:02
14229920000190;POSTO TITAN CAFELANDIA;AVENIDA MARECHAL LOTT,  ESQ. DEP. ANTONIO LUSTOSA,1475;;CENTRO;CAFELANDIA;PR;Diesel S500;3,089;07/08/2018 16:02
14229920000190;POSTO TITAN CAFELANDIA;AVENIDA MARECHAL LOTT,  ESQ. DEP. ANTONIO LUSTOSA,1475;;CENTRO;CAFELANDIA;PR;Diesel S10;3,139;07/08/2018 16:02
